race_code,race_type,state,district,dem_id,dem_name,dem_party,rep_id,rep_name,rep_party,ind_id,ind_name,ind_party,ind_caucus,dem2_id,rep2_id,rcv,threeway,ind_frac,same_party,cand2_name,cand1_inc,incumbent_party,seat_holder,dem_status,rep_status,ind_status
AK-SEN,senate,AK,SEN,C-0001,Mary Peltola,DEM,C-0002,Dan Sullivan,REP,,,,,,,True,False,0.0,,,False,REP,REP,presumptive,confirmed,
AL-SEN,senate,AL,SEN,C-0003,Everett Wess,DEM,C-0004,Barry Moore,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
AR-SEN,senate,AR,SEN,C-0005,Hallie Shoffner,DEM,C-0006,Tom Cotton,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
CO-SEN,senate,CO,SEN,C-0007,John Hickenlooper,DEM,C-0008,Mark Baisley,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
DE-SEN,senate,DE,SEN,C-0009,Chris Coons,DEM,C-0010,Michael Katz,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,projected,
FL-SEN,senate,FL,SEN,C-0011,Alexander Vindman,DEM,C-0012,Ashley Moody,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,confirmed,
GA-SEN,senate,GA,SEN,C-0013,Jon Ossoff,DEM,C-0014,Mike Collins,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,projected,
IA-SEN,senate,IA,SEN,C-0015,Josh Turek,DEM,C-0016,Ashley Hinson,REP,,,,,,,False,False,0.0,,,False,,REP,presumptive,presumptive,
ID-SEN,senate,ID,SEN,C-0017,David Roth,DEM,C-0018,Jim Risch,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
IL-SEN,senate,IL,SEN,C-0019,Juliana Stratton,DEM,C-0020,Don Tracy,REP,,,,,,,False,False,0.0,,,False,,DEM,presumptive,projected,
KS-SEN,senate,KS,SEN,C-0021,Adam Hamilton,DEM,C-0022,Roger Marshall,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,confirmed,
KY-SEN,senate,KY,SEN,C-0023,Charles Booker,DEM,C-0024,Andy Barr,REP,,,,,,,False,False,0.0,,,False,,REP,presumptive,projected,
LA-SEN,senate,LA,SEN,C-0025,Gary Crockett,DEM,C-0026,Julia Letlow,REP,,,,,,,False,False,0.0,,,False,,REP,projected,projected,
MA-SEN,senate,MA,SEN,C-0027,Ed Markey,DEM,C-0028,John Deaton,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,presumptive,
ME-SEN,senate,ME,SEN,C-1016,Democratic candidate (ME-SEN),DEM,C-0030,Susan Collins,REP,,,,,,,True,False,0.0,,,False,REP,REP,projected,confirmed,
MI-SEN,senate,MI,SEN,C-0031,Abdul El-Sayed,DEM,C-0032,Mike Rogers,REP,,,,,,,False,False,0.0,,,False,,DEM,presumptive,presumptive,
MN-SEN,senate,MN,SEN,C-0033,Peggy Flanagan,DEM,C-0034,Adam Schwarze,REP,,,,,,,False,False,0.0,,,False,,DEM,presumptive,presumptive,
MS-SEN,senate,MS,SEN,C-0035,Scott Colom,DEM,C-0036,Cindy Hyde-Smith,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
MT-SEN,senate,MT,SEN,C-0037,Alani Bankhead,DEM,C-0038,Kurt Alme,REP,C-0039,Seth Bodnar,IND,IND,,,False,True,0.7,,,False,,REP,projected,confirmed,confirmed
NC-SEN,senate,NC,SEN,C-0040,Roy Cooper,DEM,C-0041,Michael Whatley,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
NE-SEN,senate,NE,SEN,C-0042,(no Democrat — backs Osborn),DEM,C-0043,Pete Ricketts,REP,C-0044,Dan Osborn,IND,DEM,,,False,True,0.98,,,False,REP,REP,n/a,confirmed,confirmed
NH-SEN,senate,NH,SEN,C-0045,Chris Pappas,DEM,C-0046,Scott Brown,REP,,,,,,,False,False,0.0,,,False,,DEM,presumptive,projected,
NJ-SEN,senate,NJ,SEN,C-0047,Cory Booker,DEM,C-0048,Justin Murphy,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,projected,
NM-SEN,senate,NM,SEN,C-0049,Ben Ray Lujan,DEM,C-0050,Larry Marker,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,projected,
OH-SEN,senate,OH,SEN,C-0051,Sherrod Brown,DEM,C-0052,Jon Husted,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
OK-SEN,senate,OK,SEN,C-0053,Jim Priest,DEM,C-0054,Kevin Hern,REP,,,,,,,False,False,0.0,,,False,,REP,presumptive,confirmed,
OR-SEN,senate,OR,SEN,C-0055,Jeff Merkley,DEM,C-0056,David Brock Smith,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,presumptive,
RI-SEN,senate,RI,SEN,C-0057,Jack Reed,DEM,C-0058,Raymond McKay,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,presumptive,
SC-SEN,senate,SC,SEN,C-0059,Annie Andrews,DEM,C-0060,Lindsey Graham,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
SD-SEN,senate,SD,SEN,C-0061,Julian Beaudion,DEM,C-0062,Mike Rounds,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
TN-SEN,senate,TN,SEN,C-0063,Marquita Bradshaw,DEM,C-0064,Bill Hagerty,REP,,,,,,,False,False,0.0,,,False,REP,REP,presumptive,confirmed,
TX-SEN,senate,TX,SEN,C-0065,James Talarico,DEM,C-0066,Ken Paxton,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
VA-SEN,senate,VA,SEN,C-0067,Mark Warner,DEM,C-0068,Bert Mizusawa,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,projected,
WV-SEN,senate,WV,SEN,C-0069,Rachel Anderson,DEM,C-0070,Shelley Moore Capito,REP,,,,,,,False,False,0.0,,,False,REP,REP,projected,confirmed,
WY-SEN,senate,WY,SEN,C-0071,James Byrd,DEM,C-0072,Harriet Hageman,REP,,,,,,,False,False,0.0,,,False,,REP,projected,projected,
AK-GOV,governor,AK,GOV,C-0073,Tom Begich,DEM,C-0074,Bernadette Wilson,REP,,,,,,,True,False,0.0,,,False,,REP,confirmed,confirmed,
AL-GOV,governor,AL,GOV,C-0075,Doug Jones,DEM,C-0076,Tommy Tuberville,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
AR-GOV,governor,AR,GOV,C-0077,Fredrick Love,DEM,C-0078,Sarah Huckabee Sanders,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
AZ-GOV,governor,AZ,GOV,C-0079,Katie Hobbs,DEM,C-0080,Andy Biggs,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
CA-GOV,governor,CA,GOV,C-0081,Xavier Becerra,DEM,C-0082,Steve Hilton,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,confirmed,
CO-GOV,governor,CO,GOV,C-0083,Phil Weiser,DEM,C-0084,Victor Marx,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,presumptive,
CT-GOV,governor,CT,GOV,C-0085,Ned Lamont,DEM,C-0086,Ryan Fazio,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
FL-GOV,governor,FL,GOV,C-0087,David Jolly,DEM,C-0088,Byron Donalds,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
GA-GOV,governor,GA,GOV,C-0089,Keisha Lance Bottoms,DEM,C-0090,Rick Jackson,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
HI-GOV,governor,HI,GOV,C-0091,Josh Green,DEM,C-0092,Gary Cordery,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
IA-GOV,governor,IA,GOV,C-0093,Rob Sand,DEM,C-0094,Zach Lahn,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
ID-GOV,governor,ID,GOV,C-0095,Terri Pickens,DEM,C-0096,Brad Little,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
IL-GOV,governor,IL,GOV,C-0097,JB Pritzker,DEM,C-0098,Darren Bailey,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
KS-GOV,governor,KS,GOV,C-0099,Ethan Corson,DEM,C-0100,Ty Masterson,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,projected,
MA-GOV,governor,MA,GOV,C-0101,Maura Healey,DEM,C-0102,Mike Minogue,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
MD-GOV,governor,MD,GOV,C-0103,Wes Moore,DEM,C-0104,Dan Cox,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
ME-GOV,governor,ME,GOV,C-0105,Hannah Pingree,DEM,C-0106,Robert Charles,REP,,,,,,,False,False,0.0,,,False,,DEM,projected,projected,
MI-GOV,governor,MI,GOV,C-0107,Jocelyn Benson,DEM,C-0108,John James,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,confirmed,
MN-GOV,governor,MN,GOV,C-0109,Amy Klobuchar,DEM,C-0110,Kendall Qualls,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,projected,
NE-GOV,governor,NE,GOV,C-0111,Lynne Walz,DEM,C-0112,Jim Pillen,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
NH-GOV,governor,NH,GOV,C-0113,Cinde Warmington,DEM,C-0114,Kelly Ayotte,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
NM-GOV,governor,NM,GOV,C-0115,Deb Haaland,DEM,C-0116,Gregg Hull,REP,,,,,,,False,False,0.0,,,False,,DEM,confirmed,confirmed,
NV-GOV,governor,NV,GOV,C-0117,Aaron Ford,DEM,C-0118,Joe Lombardo,REP,,,,,,,False,False,0.0,,,False,REP,REP,confirmed,confirmed,
NY-GOV,governor,NY,GOV,C-0119,Kathy Hochul,DEM,C-0120,Bruce Blakeman,REP,,,,,,,False,False,0.0,,,False,DEM,DEM,confirmed,confirmed,
OH-GOV,governor,OH,GOV,C-0121,Amy Acton,DEM,C-0122,Vivek Ramaswamy,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
OK-GOV,governor,OK,GOV,C-0123,Cyndi Munson,DEM,C-0124,Gentner Drummond,REP,,,,,,,False,False,0.0,,,False,,REP,confirmed,confirmed,
